Water Control Zone	River	Station	Sampling Date (MM/YYYY)	Dissolved Oxygen (mg/L)	E. coli (counts/100mL)
Deep Bay	River Beas	RB3	06/2020	5.4	13000
Deep Bay	River Beas	RB3	07/2020	9.9	9000
Deep Bay	River Beas	RB3	08/2020	5.1	24000
North Western	Tuen Mun River	TN6	09/2018	5.4	16000
North Western	Tuen Mun River	TN6	10/2018	3.3	2200
North Western	Tuen Mun River	TN6	11/2018	3.6	13000
North Western	Tuen Mun River	TN6	12/2018	6	3800
North Western	Tuen Mun River	TN6	01/2019	6.3	3600
North Western	Tuen Mun River	TN6	02/2019	6.2	21000
North Western	Tuen Mun River	TN6	03/2019	5.7	1500
North Western	Tuen Mun River	TN6	04/2019	5.9	1800
North Western	Tuen Mun River	TN6	05/2019	5.7	800
North Western	Tuen Mun River	TN6	06/2019	5.7	1000
North Western	Tuen Mun River	TN6	07/2019	3.8	5300
North Western	Tuen Mun River	TN6	08/2019	3.2	1600
North Western	Tuen Mun River	TN6	09/2019	4.5	20000
North Western	Tuen Mun River	TN6	10/2019	4.1	19000
North Western	Tuen Mun River	TN6	11/2019	2.9	50000
North Western	Tuen Mun River	TN6	12/2019	4.4	3400
North Western	Tuen Mun River	TN6	01/2020	4.5	6900
North Western	Tuen Mun River	TN6	03/2020	6.1	10
North Western	Tuen Mun River	TN6	04/2020	5	3300
North Western	Tuen Mun River	TN6	05/2020	4.9	55000
North Western	Tuen Mun River	TN6	06/2020	9.1	1400
North Western	Tuen Mun River	TN6	07/2020	7	350
North Western	Tuen Mun River	TN6	08/2020	5.4	44000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	09/2018	7.3	23000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	10/2018	6	30000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	11/2018	5.4	36000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	12/2018	7.3	26000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	01/2019	6.6	35000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	02/2019	6.5	24000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	03/2019	6.5	48000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	04/2019	5.9	19000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	05/2019	5.4	35000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	06/2019	4.5	68000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	07/2019	3.6	54000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	08/2019	6.5	10000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	09/2019	6.2	15000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	10/2019	3.9	51000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	11/2019	5.3	260000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	12/2019	6.1	340000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	01/2020	5.3	190000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	03/2020	4.5	55000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	04/2020	4.8	400
Tolo Harbour And Channel	Lam Tsuen River	TR12I	05/2020	3	35000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	06/2020	5.5	120000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	07/2020	4.1	86000
Tolo Harbour And Channel	Lam Tsuen River	TR12I	08/2020	6.1	19000
Tolo Harbour And Channel	Tai Po River	TR13	09/2018	8.5	14000
Tolo Harbour And Channel	Tai Po River	TR13	10/2018	8.7	5200
Tolo Harbour And Channel	Tai Po River	TR13	11/2018	9.3	6900
Tolo Harbour And Channel	Tai Po River	TR13	12/2018	8.9	2800
Tolo Harbour And Channel	Tai Po River	TR13	01/2019	9.8	2400
Tolo Harbour And Channel	Tai Po River	TR13	02/2019	9	7000
Tolo Harbour And Channel	Tai Po River	TR13	03/2019	9.2	86000
Tolo Harbour And Channel	Tai Po River	TR13	04/2019	8.5	8700
Tolo Harbour And Channel	Tai Po River	TR13	05/2019	8.4	7400
Tolo Harbour And Channel	Tai Po River	TR13	06/2019	8.2	11000
Tolo Harbour And Channel	Tai Po River	TR13	07/2019	8	80000
Tolo Harbour And Channel	Tai Po River	TR13	08/2019	8	23000
Tolo Harbour And Channel	Tai Po River	TR13	09/2019	8.4	30000
Tolo Harbour And Channel	Tai Po River	TR13	10/2019	8.3	13000
Tolo Harbour And Channel	Tai Po River	TR13	11/2019	9	55000
Tolo Harbour And Channel	Tai Po River	TR13	12/2019	9.9	6900
Tolo Harbour And Channel	Tai Po River	TR13	01/2020	9.8	23000
Tolo Harbour And Channel	Tai Po River	TR13	03/2020	8.9	30000
Tolo Harbour And Channel	Tai Po River	TR13	04/2020	9.2	1700
Tolo Harbour And Channel	Tai Po River	TR13	05/2020	7.7	11000
Tolo Harbour And Channel	Tai Po River	TR13	06/2020	7.8	28000
Tolo Harbour And Channel	Tai Po River	TR13	07/2020	8.2	14000
Tolo Harbour And Channel	Tai Po River	TR13	08/2020	7.9	26000
Tolo Harbour And Channel	Shing Mun River	TR19I	09/2018	5.9	300
Tolo Harbour And Channel	Shing Mun River	TR19I	10/2018	7.1	33000
Tolo Harbour And Channel	Shing Mun River	TR19I	11/2018	8.1	120
Tolo Harbour And Channel	Shing Mun River	TR19I	12/2018	5.9	1500
Tolo Harbour And Channel	Shing Mun River	TR19I	01/2019	9.3	1000
Tolo Harbour And Channel	Shing Mun River	TR19I	02/2019	6.5	440
Tolo Harbour And Channel	Shing Mun River	TR19I	03/2019	7.8	14000
Tolo Harbour And Channel	Shing Mun River	TR19I	04/2019	6.5	610
Tolo Harbour And Channel	Shing Mun River	TR19I	05/2019	7.7	70
Tolo Harbour And Channel	Shing Mun River	TR19I	06/2019	7.2	50
Tolo Harbour And Channel	Shing Mun River	TR19I	07/2019	9.4	44000
Tolo Harbour And Channel	Shing Mun River	TR19I	08/2019	8.8	370
Tolo Harbour And Channel	Shing Mun River	TR19I	09/2019	6.7	900
Tolo Harbour And Channel	Shing Mun River	TR19I	10/2019	9	1200
Tolo Harbour And Channel	Shing Mun River	TR19I	11/2019	7.7	<10
Tolo Harbour And Channel	Shing Mun River	TR19I	12/2019	7.7	170
Tolo Harbour And Channel	Shing Mun River	TR19I	01/2020	6.4	170
Tolo Harbour And Channel	Shing Mun River	TR19I	03/2020	7.8	260
Tolo Harbour And Channel	Shing Mun River	TR19I	04/2020	6.7	90
Tolo Harbour And Channel	Shing Mun River	TR19I	05/2020	6.5	70
Tolo Harbour And Channel	Shing Mun River	TR19I	06/2020	6.3	70
Tolo Harbour And Channel	Shing Mun River	TR19I	07/2020	4.4	80
Tolo Harbour And Channel	Shing Mun River	TR19I	08/2020	4.7	40
Victoria Harbour	Sam Dip Tam Stream	TW3	09/2018	8.2	2400
Victoria Harbour	Sam Dip Tam Stream	TW3	10/2018	8.8	11000
Victoria Harbour	Sam Dip Tam Stream	TW3	11/2018	9	2800
Victoria Harbour	Sam Dip Tam Stream	TW3	12/2018	9.5	350
Victoria Harbour	Sam Dip Tam Stream	TW3	01/2019	10.1	1400
Victoria Harbour	Sam Dip Tam Stream	TW3	02/2019	8.9	3200
Victoria Harbour	Sam Dip Tam Stream	TW3	03/2019	9.3	5300
Victoria Harbour	Sam Dip Tam Stream	TW3	04/2019	8.3	130
Victoria Harbour	Sam Dip Tam Stream	TW3	05/2019	8.3	5700
Victoria Harbour	Sam Dip Tam Stream	TW3	06/2019	8.4	2600
Victoria Harbour	Sam Dip Tam Stream	TW3	07/2019	8.8	7800
Victoria Harbour	Sam Dip Tam Stream	TW3	08/2019	9	2700
Victoria Harbour	Sam Dip Tam Stream	TW3	09/2019	8.1	12000
Victoria Harbour	Sam Dip Tam Stream	TW3	10/2019	9	2900
Victoria Harbour	Sam Dip Tam Stream	TW3	11/2019	9.1	3400
Victoria Harbour	Sam Dip Tam Stream	TW3	12/2019	9.7	6000
Victoria Harbour	Sam Dip Tam Stream	TW3	01/2020	9.2	13000
Victoria Harbour	Sam Dip Tam Stream	TW3	03/2020	8.4	5800
Victoria Harbour	Sam Dip Tam Stream	TW3	04/2020	8.8	27000
Victoria Harbour	Sam Dip Tam Stream	TW3	05/2020	8.2	8100
Victoria Harbour	Sam Dip Tam Stream	TW3	06/2020	7.8	5900
Victoria Harbour	Sam Dip Tam Stream	TW3	07/2020	7.9	25000
Victoria Harbour	Sam Dip Tam Stream	TW3	08/2020	7.9	8400
Deep Bay	Yuen Long Creek	YL3	09/2018	5.9	340000
Deep Bay	Yuen Long Creek	YL3	10/2018	4.2	690000
Deep Bay	Yuen Long Creek	YL3	11/2018	2.5	550000
Deep Bay	Yuen Long Creek	YL3	12/2018	2	1200000
Deep Bay	Yuen Long Creek	YL3	01/2019	2.8	1700000
Deep Bay	Yuen Long Creek	YL3	02/2019	2.2	1600000
Deep Bay	Yuen Long Creek	YL3	03/2019	6.2	270000
Deep Bay	Yuen Long Creek	YL3	04/2019	1.6	1500000
Deep Bay	Yuen Long Creek	YL3	05/2019	2.8	1100000
Deep Bay	Yuen Long Creek	YL3	06/2019	5.5	630000
Deep Bay	Yuen Long Creek	YL3	07/2019	5.7	220000
Deep Bay	Yuen Long Creek	YL3	08/2019	3	730000
Deep Bay	Yuen Long Creek	YL3	09/2019	5.9	90000
Deep Bay	Yuen Long Creek	YL3	10/2019	1.8	100000
Deep Bay	Yuen Long Creek	YL3	11/2019	1.1	610000
Deep Bay	Yuen Long Creek	YL3	12/2019	2.4	380000
Deep Bay	Yuen Long Creek	YL3	01/2020	2.4	820000
Deep Bay	Yuen Long Creek	YL3	03/2020	1.7	540000
Deep Bay	Yuen Long Creek	YL3	04/2020	1.9	1200000
Deep Bay	Yuen Long Creek	YL3	05/2020	2.1	460000
Deep Bay	Yuen Long Creek	YL3	06/2020	1.9	730000
Deep Bay	Yuen Long Creek	YL3	07/2020	2.3	540000
Deep Bay	Yuen Long Creek	YL3	08/2020	6.2	650000
